-- dump date   	20080125_165742
-- class       	Genbank::Feature
-- table       	feature
-- table       	main
-- field 1	id
-- field 2	type
-- field 3	name
-- field 4	contig
-- field 5	start_pos
-- field 6	end_pos
-- field 7	strand
-- field 8	description
-- field 9	chrom_position
-- field 10	organism
-- field 11	GeneID
-- header
-- id	type	name	contig	start_pos	end_pos	strand	description	chrom_position	organism	GeneID
83333000001	SEQ_END	SEQ_END	NC_000913.2	4639675	4639675	DR	NC_000913.2; contig end	4639675..4639675	Escherichia coli K12	<NULL_VALUE>
NP_414737.1	CDS	yaeB	NC_000913.2	218887	219594	R	conserved protein	complement(218887..219594)	Escherichia coli K12	949112
NP_414738.1	CDS	rcsF	NC_000913.2	219591	219995	R	predicted outer membrane protein, signal	complement(219591..219995)	Escherichia coli K12	949113
NP_414739.1	CDS	metQ	NC_000913.2	220113	220928	R	DL-methionine transporter subunit	complement(220113..220928)	Escherichia coli K12	944893
NP_414740.1	CDS	metI	NC_000913.2	220968	221621	R	DL-methionine transporter subunit	complement(220968..221621)	Escherichia coli K12	944894
NP_414741.1	CDS	metN	NC_000913.2	221614	222645	R	DL-methionine transporter subunit	complement(221614..222645)	Escherichia coli K12	944896
NP_414742.1	CDS	gmhB	NC_000913.2	222833	223408	D	D,D-heptose 1,7-bisphosphate phosphatase	222833..223408	Escherichia coli K12	944879
NP_414743.1	CDS	dkgB	NC_000913.2	229167	229970	D	2,5-diketo-D-gluconate reductase B	229167..229970	Escherichia coli K12	944901
NP_414744.1	CDS	yafC	NC_000913.2	229967	230881	R	predicted DNA-binding transcriptional regulator	complement(229967..230881)	Escherichia coli K12	947507
NP_414745.1	CDS	yafD	NC_000913.2	231122	231922	D	conserved protein	231122..231922	Escherichia coli K12	946286
NP_414746.1	CDS	yafE	NC_000913.2	231926	232549	D	predicted S-adenosyl-L-methionine-dependent methyltransferase	231926..232549	Escherichia coli K12	946197
NP_414747.1	CDS	mltD	NC_000913.2	232597	233955	R	predicted membrane-bound lytic murein transglycosylase D	complement(232597..233955)	Escherichia coli K12	945694
NP_414748.1	CDS	gloB	NC_000913.2	234027	234782	R	predicted hydroxyacylglutathione hydrolase	complement(234027..234782)	Escherichia coli K12	944902
NP_414749.2	CDS	yafS	NC_000913.2	234816	235538	D	predicted S-adenosyl-L-methionine-dependent methyltransferase	234816..235538	Escherichia coli K12	944903
NP_414750.1	CDS	rnhA	NC_000913.2	235535	236002	R	ribonuclease HI, degrades RNA of DNA-RNA hybrids	complement(235535..236002)	Escherichia coli K12	946955
NP_414751.1	CDS	dnaQ	NC_000913.2	236067	236798	D	DNA polymerase III epsilon subunit	236067..236798	Escherichia coli K12	946441
NP_414752.1	CDS	yafT	NC_000913.2	237335	238120	D	predicted aminopeptidase	237335..238120	Escherichia coli K12	949009
YP_001165307.1	CDS	ykfM	NC_000913.2	238257	238736	R	hypothetical protein, no homologs	complement(238257..238736)	Escherichia coli K12	5061498
b0218	CDS	yafU	NC_000913.2	238746	239102	R	b0218	complement(238746..239102)	Escherichia coli K12	946644
b4503	CDS	yafF	NC_000913.2	239106	239378	D	b4503	239106..239378	Escherichia coli K12	1450235
NP_414754.1	CDS	yafV	NC_000913.2	239419	240189	R	predicted C-N hydrolase family amidase, NAD(P)-binding	complement(239419..240189)	Escherichia coli K12	946585
NP_414755.1	CDS	ivy	NC_000913.2	240343	240816	D	inhibitor of vertebrate C-lysozyme	240343..240816	Escherichia coli K12	946530
NP_414756.2	CDS	fadE	NC_000913.2	240859	243303	R	acyl coenzyme A dehydrogenase	complement(240859..243303)	Escherichia coli K12	949007
NP_414757.1	CDS	lpcA	NC_000913.2	243543	244121	D	D-sedoheptulose 7-phosphate isomerase	243543..244121	Escherichia coli K12	949134
NP_414758.1	CDS	yafJ	NC_000913.2	244327	245094	D	predicted amidotransfease	244327..245094	Escherichia coli K12	944906
NP_414759.1	CDS	yafK	NC_000913.2	245065	245805	R	conserved protein	complement(245065..245805)	Escherichia coli K12	944910
NP_414760.1	CDS	yafQ	NC_000913.2	245961	246239	R	predicted toxin of the YafQ-DinJ toxin-antitoxin system	complement(245961..246239)	Escherichia coli K12	944911
NP_414761.1	CDS	dinJ	NC_000913.2	246242	246502	R	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	complement(246242..246502)	Escherichia coli K12	944914
NP_414762.1	CDS	yafL	NC_000913.2	246712	247461	D	predicted lipoprotein and C40 family peptidase	246712..247461	Escherichia coli K12	944899
NP_414763.1	CDS	yafM	NC_000913.2	247637	248134	D	conserved protein	247637..248134	Escherichia coli K12	944913
b0229	CDS	lfhA	NC_000913.2	248358	250070	R	b0229	complement(248358..250070)	Escherichia coli K12	944908
b0230	CDS	lafU	NC_000913.2	250072	250827	D	b0230	250072..250827	Escherichia coli K12	944921
NP_414766.1	CDS	dinB	NC_000913.2	250898	251953	D	DNA polymerase IV	250898..251953	Escherichia coli K12	944922
NP_414767.1	CDS	yafN	NC_000913.2	252005	252298	D	predicted antitoxin of the YafO-YafN toxin-antitoxin system	252005..252298	Escherichia coli K12	944920
NP_414768.1	CDS	yafO	NC_000913.2	252301	252699	D	predicted toxin of the YafO-YafN toxin-antitoxin system	252301..252699	Escherichia coli K12	944916
NP_414769.1	CDS	yafP	NC_000913.2	252709	253161	D	predicted acyltransferase with acyl-CoA N-acyltransferase domain	252709..253161	Escherichia coli K12	944912
b0235	CDS	ykfJ	NC_000913.2	253479	253685	D	b0235	253479..253685	Escherichia coli K12	944924
b0236	CDS	prfH	NC_000913.2	253702	254202	D	b0236	253702..254202	Escherichia coli K12	947374
NP_414772.1	CDS	pepD	NC_000913.2	254259	255716	R	aminoacyl-histidine dipeptidase (peptidase D)	complement(254259..255716)	Escherichia coli K12	945013
NP_414773.1	CDS	gpt	NC_000913.2	255977	256435	D	guanine-hypoxanthine phosphoribosyltransferase	255977..256435	Escherichia coli K12	944817
NP_414774.1	CDS	frsA	NC_000913.2	256527	257771	D	hydrolase, binds to enzyme IIA(Glc)	256527..257771	Escherichia coli K12	946039
NP_414775.1	CDS	crl	NC_000913.2	257829	258230	D	DNA-binding transcriptional regulator	257829..258230	Escherichia coli K12	945077
NP_414776.1	CDS	phoE	NC_000913.2	258269	259324	R	outer membrane phosphoporin protein E	complement(258269..259324)	Escherichia coli K12	944926
NP_414777.1	CDS	proB	NC_000913.2	259612	260715	D	gamma-glutamate kinase	259612..260715	Escherichia coli K12	946425
NP_414778.1	CDS	proA	NC_000913.2	260727	261980	D	gamma-glutamylphosphate reductase	260727..261980	Escherichia coli K12	946680
b4626	CDS	ykfN	NC_000913.2	262374	262436	R	b4626	complement(262374..262436)	Escherichia coli K12	5625552
NP_414779.1	CDS	ykfI	NC_000913.2	262552	262893	R	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	complement(262552..262893)	Escherichia coli K12	946726
NP_414780.1	CDS	yafW	NC_000913.2	262914	263231	R	CP4-6 prophage; antitoxin of the YkfI-YafW toxin-antitoxin system	complement(262914..263231)	Escherichia coli K12	944929
YP_588435.1	CDS	ykfH	NC_000913.2	263250	263471	R	predicted protein	complement(263250..263471)	Escherichia coli K12	1450236
NP_414781.1	CDS	ykfG	NC_000913.2	263480	263956	R	CP4-6 prophage; predicted DNA repair protein	complement(263480..263956)	Escherichia coli K12	944930
NP_414782.1	CDS	yafX	NC_000913.2	263972	264430	R	CP4-6 prophage; predicted protein	complement(263972..264430)	Escherichia coli K12	944931
NP_414783.1	CDS	ykfF	NC_000913.2	264528	264767	R	CP4-6 prophage; predicted protein	complement(264528..264767)	Escherichia coli K12	948839
NP_414784.1	CDS	ykfB	NC_000913.2	264844	265311	R	CP4-6 prophage; predicted protein	complement(264844..265311)	Escherichia coli K12	946846
NP_414785.4	CDS	yafY	NC_000913.2	265334	265777	R	CP4-6 prophage; predicted DNA-binding transcriptional regulator	complement(265334..265777)	Escherichia coli K12	944934
b4627	CDS	ykfL	NC_000913.2	265777	265998	R	b4627	complement(265777..265998)	Escherichia coli K12	5625553
b4628	CDS	ykfK	NC_000913.2	266000	266191	R	b4628	complement(266000..266191)	Escherichia coli K12	5625554
NP_414786.4	CDS	yafZ	NC_000913.2	266408	267229	R	CP4-6 prophage; conserved protein	complement(266408..267229)	Escherichia coli K12	945373
NP_414787.4	CDS	ykfA	NC_000913.2	267321	268184	R	CP4-6 prophage; predicted GTP-binding protein	complement(267321..268184)	Escherichia coli K12	949004
NP_414788.1	CDS	perR	NC_000913.2	268513	269406	R	CP4-6 prophage; predicted DNA-binding transcriptional regulator	complement(268513..269406)	Escherichia coli K12	945417
b4587	CDS	insN	NC_000913.2	269502	271413	D	b4587	join(269502..269759,270988..271413)	Escherichia coli K12	5061501
NP_414790.1	CDS	insI	NC_000913.2	269827	270978	D	KpLE2 phage-like element; IS30 transposase	269827..270978	Escherichia coli K12	949005
b0258	CDS	ykfC	NC_000913.2	272071	273178	D	b0258	272071..273178	Escherichia coli K12	944940
NP_414793.1	CDS	insH	NC_000913.2	273325	274341	R	IS5 transposase and trans-activator	complement(273325..274341)	Escherichia coli K12	944941
NP_414794.4	CDS	mmuP	NC_000913.2	274549	275952	D	CP4-6 prophage; predicted S-methylmethionine transporter	274549..275952	Escherichia coli K12	946284
NP_414795.1	CDS	mmuM	NC_000913.2	275939	276871	D	CP4-6 prophage; S-methylmethionine:homocysteine methyltransferase	275939..276871	Escherichia coli K12	946143
NP_414796.2	CDS	afuC	NC_000913.2	276980	278026	R	CP4-6 prophage; predicted ferric transporter subunit	complement(276980..278026)	Escherichia coli K12	947676
b0263	CDS	afuB	NC_000913.2	278038	278385	R	b0263	complement(278038..278385)	Escherichia coli K12	947073
NP_414798.1	CDS	insB	NC_000913.2	278402	278905	R	IS1 transposase InsAB'	complement(278402..278905)	Escherichia coli K12	947698
NP_414799.1	CDS	insA	NC_000913.2	278824	279099	R	KpLE2 phage-like element; IS1 repressor protein InsA	complement(278824..279099)	Escherichia coli K12	944946
YP_588436.1	CDS	ykgN	NC_000913.2	279248	279586	R	predicted IS protein	complement(279248..279586)	Escherichia coli K12	1450237
NP_414800.2	CDS	yagB	NC_000913.2	279609	279959	R	CP4-6 prophage; conserved protein	complement(279609..279959)	Escherichia coli K12	944944
NP_414801.1	CDS	yagA	NC_000913.2	280053	281207	R	CP4-6 prophage; predicted DNA-binding transcriptional regulator	complement(280053..281207)	Escherichia coli K12	944937
NP_414802.1	CDS	yagE	NC_000913.2	281481	282410	D	CP4-6 prophage; predicted lyase/synthase	281481..282410	Escherichia coli K12	944925
NP_414803.1	CDS	yagF	NC_000913.2	282425	284392	D	CP4-6 prophage; predicted dehydratase	282425..284392	Escherichia coli K12	944928
NP_414804.1	CDS	yagG	NC_000913.2	284619	286001	D	CP4-6 prophage; predicted sugar transporter	284619..286001	Escherichia coli K12	944947
NP_414805.1	CDS	yagH	NC_000913.2	286013	287623	D	CP4-6 prophage; predicted xylosidase/arabinosidase	286013..287623	Escherichia coli K12	944949
NP_414806.1	CDS	yagI	NC_000913.2	287628	288386	R	CP4-6 prophage; predicted DNA-binding transcriptional regulator	complement(287628..288386)	Escherichia coli K12	945016
NP_414807.1	CDS	argF	NC_000913.2	288525	289529	R	CP4-6 prophage; ornithine carbamoyltransferase 2, chain F	complement(288525..289529)	Escherichia coli K12	944844
NP_414808.1	CDS	insB	NC_000913.2	289873	290376	R	IS1 transposase InsAB'	complement(289873..290376)	Escherichia coli K12	944950
NP_414809.1	CDS	insA	NC_000913.2	290295	290570	R	KpLE2 phage-like element; IS1 repressor protein InsA	complement(290295..290570)	Escherichia coli K12	944951
NP_414810.1	CDS	yagJ	NC_000913.2	290724	291455	D	CP4-6 prophage; predicted protein	290724..291455	Escherichia coli K12	949094
NP_414811.1	CDS	yagK	NC_000913.2	291546	292172	R	CP4-6 prophage; conserved protein	complement(291546..292172)	Escherichia coli K12	945847
NP_414812.1	CDS	yagL	NC_000913.2	292444	293142	R	CP4-6 prophage; DNA-binding protein	complement(292444..293142)	Escherichia coli K12	945845
NP_414813.1	CDS	yagM	NC_000913.2	293169	294023	R	CP4-6 prophage; predicted protein	complement(293169..294023)	Escherichia coli K12	944959
NP_414814.1	CDS	yagN	NC_000913.2	294363	294803	R	CP4-6 prophage; predicted protein	complement(294363..294803)	Escherichia coli K12	945349
NP_414815.1	CDS	intF	NC_000913.2	294920	296320	R	CP4-6 prophage; predicted phage integrase	complement(294920..296320)	Escherichia coli K12	947351
NP_414816.1	CDS	yagP	NC_000913.2	296605	297015	R	predicted transcriptional regulator	complement(296605..297015)	Escherichia coli K12	947411
NP_414817.1	CDS	yagQ	NC_000913.2	296994	297950	R	conserved protein	complement(296994..297950)	Escherichia coli K12	945010
NP_414818.1	CDS	yagR	NC_000913.2	297960	300158	R	predicted oxidoreductase with molybdenum-binding domain	complement(297960..300158)	Escherichia coli K12	944961
NP_414819.1	CDS	yagS	NC_000913.2	300155	301111	R	predicted oxidoreductase with FAD-binding domain	complement(300155..301111)	Escherichia coli K12	945710
NP_414820.1	CDS	yagT	NC_000913.2	301108	301797	R	predicted xanthine dehydrogenase, 2Fe-2S subunit	complement(301108..301797)	Escherichia coli K12	945330
NP_414821.1	CDS	yagU	NC_000913.2	302215	302829	D	conserved inner membrane protein	302215..302829	Escherichia coli K12	945677
NP_414822.1	CDS	ykgJ	NC_000913.2	303077	303406	R	predicted ferredoxin	complement(303077..303406)	Escherichia coli K12	945905
NP_414823.2	CDS	yagV	NC_000913.2	303719	304429	R	conserved protein	complement(303719..304429)	Escherichia coli K12	946631
NP_414824.1	CDS	yagW	NC_000913.2	304398	306041	R	predicted receptor	complement(304398..306041)	Escherichia coli K12	947349
NP_414825.1	CDS	yagX	NC_000913.2	306031	308556	R	predicted aromatic compound dioxygenase	complement(306031..308556)	Escherichia coli K12	947606
NP_414826.1	CDS	matC	NC_000913.2	308582	309250	R	predicted protein	complement(308582..309250)	Escherichia coli K12	948806
NP_414827.1	CDS	matB	NC_000913.2	309308	309895	R	conserved protein	complement(309308..309895)	Escherichia coli K12	948759
NP_414828.1	CDS	matA	NC_000913.2	309970	310560	R	predicted regulator	complement(309970..310560)	Escherichia coli K12	944966
NP_414829.1	CDS	ykgL	NC_000913.2	311336	311563	D	predicted protein	311336..311563	Escherichia coli K12	944962
YP_588437.1	CDS	ykgO	NC_000913.2	311598	311738	R	rpmJ (L36) paralog	complement(311598..311738)	Escherichia coli K12	1450238
NP_414830.1	CDS	ykgM	NC_000913.2	311738	312001	R	rpmJ (L36) paralog	complement(311738..312001)	Escherichia coli K12	944960
b4630	CDS	ykgP	NC_000913.2	312940	313029	R	b4630	complement(312940..313029)	Escherichia coli K12	5625556
b0297	CDS	eaeH	NC_000913.2	313581	314452	D	b0297	313581..314452	Escherichia coli K12	944957
NP_414832.1	CDS	insE	NC_000913.2	314506	314814	D	IS3 element protein InsE	314506..314814	Escherichia coli K12	944952
NP_414833.1	CDS	insF	NC_000913.2	314811	315677	D	IS3 element protein InsF	314811..315677	Escherichia coli K12	944948
b0300	CDS	ykgA	NC_000913.2	315710	316393	R	b0300	complement(315710..316393)	Escherichia coli K12	944956
b4631	CDS	ykgQ	NC_000913.2	316663	316791	D	b4631	316663..316791	Escherichia coli K12	5625557
NP_414835.2	CDS	ykgB	NC_000913.2	316950	317543	R	conserved inner membrane protein	complement(316950..317543)	Escherichia coli K12	944974
NP_414837.2	CDS	ykgI	NC_000913.2	317555	317791	R	predicted protein	complement(317555..317791)	Escherichia coli K12	945658
NP_414838.2	CDS	ykgC	NC_000913.2	317900	319225	R	predicted oxidoreductase with FAD/NAD(P)-binding domain and dimerization domain	complement(317900..319225)	Escherichia coli K12	946092
NP_414839.1	CDS	ykgD	NC_000913.2	319451	320305	D	predicted DNA-binding transcriptional regulator	319451..320305	Escherichia coli K12	945616
NP_414840.1	CDS	ykgE	NC_000913.2	320832	321551	D	predicted oxidoreductase	320832..321551	Escherichia coli K12	948438
NP_414841.1	CDS	ykgF	NC_000913.2	321562	322989	D	predicted amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	321562..322989	Escherichia coli K12	944980
NP_414842.4	CDS	ykgG	NC_000913.2	322982	323677	D	predicted transporter	322982..323677	Escherichia coli K12	945906
NP_414844.1	CDS	ykgH	NC_000913.2	323920	324588	R	predicted inner membrane protein	complement(323920..324588)	Escherichia coli K12	947513
NP_414845.1	CDS	betA	NC_000913.2	324801	326471	R	choline dehydrogenase, a flavoprotein	complement(324801..326471)	Escherichia coli K12	945716
NP_414846.1	CDS	betB	NC_000913.2	326485	327957	R	betaine aldehyde dehydrogenase, NAD-dependent	complement(326485..327957)	Escherichia coli K12	947376
NP_414847.3	CDS	betI	NC_000913.2	327971	328558	R	DNA-binding transcriptional repressor	complement(327971..328558)	Escherichia coli K12	944981
NP_414848.1	CDS	betT	NC_000913.2	328687	330720	D	choline transporter of high affinity	328687..330720	Escherichia coli K12	945079
NP_414849.1	CDS	yahA	NC_000913.2	331595	332683	D	predicted DNA-binding transcriptional regulator	331595..332683	Escherichia coli K12	947459
NP_414850.1	CDS	yahB	NC_000913.2	332725	333657	R	predicted DNA-bindng transcriptional regulator	complement(332725..333657)	Escherichia coli K12	945278
NP_414851.1	CDS	yahC	NC_000913.2	333749	334246	R	predicted inner membrane protein	complement(333749..334246)	Escherichia coli K12	947337
NP_414852.1	CDS	yahD	NC_000913.2	334504	335109	D	predicted transcriptional regulator with ankyrin domain	334504..335109	Escherichia coli K12	947681
NP_414853.1	CDS	yahE	NC_000913.2	335149	336012	D	predicted protein	335149..336012	Escherichia coli K12	947134
NP_414854.1	CDS	yahF	NC_000913.2	336002	337549	D	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	336002..337549	Escherichia coli K12	947298
NP_414855.1	CDS	yahG	NC_000913.2	337549	338967	D	conserved protein	337549..338967	Escherichia coli K12	945379
NP_414857.1	CDS	yahI	NC_000913.2	339389	340339	D	predicted carbamate kinase-like protein	339389..340339	Escherichia coli K12	944984
NP_414858.1	CDS	yahJ	NC_000913.2	340349	341731	D	predicted deaminase with metallo-dependent hydrolase domain	340349..341731	Escherichia coli K12	944976
NP_414859.1	CDS	yahK	NC_000913.2	342108	343157	D	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	342108..343157	Escherichia coli K12	944975
NP_414860.1	CDS	yahL	NC_000913.2	343400	344215	D	predicted protein	343400..344215	Escherichia coli K12	944970
NP_414861.2	CDS	yahM	NC_000913.2	344628	344873	D	predicted protein	344628..344873	Escherichia coli K12	944969
NP_414862.1	CDS	yahN	NC_000913.2	344890	345561	R	neutral amino-acid efflux system	complement(344890..345561)	Escherichia coli K12	944968
NP_414863.1	CDS	yahO	NC_000913.2	345708	345983	D	predicted protein	345708..345983	Escherichia coli K12	944985
NP_414864.1	CDS	prpR	NC_000913.2	346081	347667	R	DNA-binding transcriptional activator	complement(346081..347667)	Escherichia coli K12	944987
NP_414865.1	CDS	prpB	NC_000913.2	347906	348796	D	2-methylisocitrate lyase	347906..348796	Escherichia coli K12	944990
NP_414867.1	CDS	prpC	NC_000913.2	349236	350405	D	2-methylcitrate synthase	349236..350405	Escherichia coli K12	947528
NP_414868.1	CDS	prpD	NC_000913.2	350439	351890	D	2-methylcitrate dehydratase	350439..351890	Escherichia coli K12	945931
NP_414869.1	CDS	prpE	NC_000913.2	351930	353816	D	predicted propionyl-CoA synthetase with ATPase domain	351930..353816	Escherichia coli K12	946891
NP_414870.1	CDS	codB	NC_000913.2	354146	355405	D	cytosine transporter	354146..355405	Escherichia coli K12	944994
NP_414871.1	CDS	codA	NC_000913.2	355395	356678	D	cytosine deaminase	355395..356678	Escherichia coli K12	944996
NP_414872.3	CDS	cynR	NC_000913.2	357015	357914	R	DNA-binding transcriptional dual regulator	complement(357015..357914)	Escherichia coli K12	945001
NP_414873.1	CDS	cynT	NC_000913.2	358023	358682	D	carbonic anhydrase	358023..358682	Escherichia coli K12	946548
NP_414874.1	CDS	cynS	NC_000913.2	358713	359183	D	cyanate aminohydrolase	358713..359183	Escherichia coli K12	948998
NP_414875.1	CDS	cynX	NC_000913.2	359216	360370	D	predicted cyanate transporter	359216..360370	Escherichia coli K12	946770
NP_414876.1	CDS	lacA	NC_000913.2	360473	361084	R	thiogalactoside acetyltransferase	complement(360473..361084)	Escherichia coli K12	945674
